County,lifeexpectancy,diabeticrate,foodinsecurerate,limitedaccessfoodrate,free_reduced_lunch_percent,costpermeal,Household.Income,uninsuredchildrenrate,urbanization,border_status,childfoodinsecurityrate
Anderson,73.8,11,19,15,61,2.75,42412,11,Rural,Non-Border,0.234
Andrews,76.8,9,9,12,42,2.94,63451,12,Rural,Non-Border,0.184
Angelina,76.3,14,20,11,66,2.94,45318,10,Rural,Non-Border,0.253
Aransas,76.9,14,16,20,56,2.95,46970,13,Urban,Non-Border,0.263
Archer,77,11,15,5,32,2.83,58311,13,Urban,Non-Border,0.201
Armstrong,72.4,11,14,20,51,3.06,55337,12,Urban,Non-Border,0.203
Atascosa,78.3,12,9,8,63,2.78,48636,9,Urban,Non-Border,0.212
Austin,79.1,10,16,3,54,3.12,61111,11,Urban,Non-Border,0.228
Bailey,78.4,10,10,4,81,2.98,42045,13,Rural,Non-Border,0.243
Bandera,80.3,11,15,13,54,3.4,55578,13,Urban,Non-Border,0.255
Bastrop,77.6,10,13,11,66,2.78,62992,12,Urban,Non-Border,0.203
Baylor,74.3,13,17,4,56,2.81,37013,10,Rural,Non-Border,0.184
Bee,76.7,9,14,11,74,2.59,41392,9,Rural,Non-Border,0.254
Bell,78.1,10,19,13,54,2.7,52164,7,Urban,Non-Border,0.227
Bexar,79,9,11,11,63,2.86,54163,8,Urban,Non-Border,0.21
Blanco,78.8,11,13,1,42,3.03,62115,20,Rural,Non-Border,0.205
Borden,NA,12,14,15,24,2.88,59039,11,Rural,Non-Border,0.238
Bosque,76.5,11,16,4,63,2.76,49139,15,Rural,Non-Border,0.247
Bowie,75.6,13,23,9,59,2.78,49153,8,Urban,Non-Border,0.256
Brazoria,79,11,15,7,45,2.86,80840,9,Urban,Non-Border,0.203
Brazos,81.1,8,21,12,57,2.89,46083,9,Urban,Non-Border,0.223
Brewster,79.7,11,12,13,54,2.99,44617,10,Rural,Border,0.18
Briscoe,NA,12,14,48,52,2.89,42678,23,Rural,Non-Border,0.213
Brooks,76.7,11,13,11,80,2.55,28106,6,Rural,Border,0.348
Brown,75,12,17,14,61,2.55,41538,9,Rural,Non-Border,0.238
Burleson,76.6,11,16,4,64,2.93,47409,13,Urban,Non-Border,0.245
Burnet,79.1,11,15,13,61,2.88,59009,12,Rural,Non-Border,0.214
Caldwell,78,10,13,8,69,2.56,51895,11,Urban,Non-Border,0.214
Calhoun,78.7,11,13,13,62,2.67,55240,11,Rural,Non-Border,0.236
Callahan,75.4,11,18,11,55,2.82,45843,12,Urban,Non-Border,0.223
Cameron,80.8,9,10,14,87,2.37,36624,13,Urban,Border,0.282
Camp,75.9,12,20,6,76,2.89,41932,11,Rural,Non-Border,0.248
Carson,78.1,11,13,6,31,3.04,60668,11,Urban,Non-Border,0.193
Cass,75.3,14,23,3,61,2.87,40104,9,Rural,Non-Border,0.281
Castro,80.3,11,8,4,75,3.14,41746,16,Rural,Non-Border,0.208
Chambers,77.1,10,15,5,31,3.09,81018,10,Urban,Non-Border,0.235
Cherokee,75.6,13,19,9,64,2.91,47147,13,Rural,Non-Border,0.252
Childress,75.1,9,19,17,51,3.03,40925,10,Rural,Non-Border,0.221
Clay,77.2,11,17,17,47,2.8,53438,12,Urban,Non-Border,0.239
Cochran,75.3,11,11,8,78,3,40796,15,Rural,Non-Border,0.251
Coke,76.8,12,16,36,55,2.86,42314,12,Rural,Non-Border,0.225
Coleman,74.5,12,18,8,62,2.81,35596,11,Rural,Non-Border,0.263
Collin,82.7,9,15,2,23,3.15,95394,7,Urban,Non-Border,0.187
Collingsworth,76.1,11,14,3,62,3.02,39809,19,Rural,Non-Border,0.227
Colorado,77.5,12,15,6,64,2.85,49100,13,Rural,Non-Border,0.198
Comal,79.8,8,12,6,31,3.24,72562,10,Urban,Non-Border,0.199
Comanche,76.7,13,16,8,65,2.73,46161,15,Rural,Non-Border,0.243
Concho,79.9,9,8,11,69,2.79,42723,12,Rural,Non-Border,0.207
Cooke,77.8,11,16,2,57,3.1,57382,13,Rural,Non-Border,0.239
Coryell,77,10,19,17,54,2.93,51486,7,Urban,Non-Border,0.233
Cottle,NA,12,20,46,71,3.05,36201,17,Rural,Non-Border,0.262
Crane,78.5,10,9,3,52,2.91,56356,13,Rural,Non-Border,0.199
Crockett,77.8,10,11,3,59,2.62,44991,12,Rural,Border,0.255
Crosby,74.9,10,12,2,78,2.99,36942,11,Urban,Non-Border,0.235
Culberson,82.9,11,8,5,68,2.9,37825,15,Rural,Border,0.274
Dallam,77.9,9,13,18,64,2.93,47838,16,Rural,Non-Border,0.214
Dallas,78.9,9,18,7,73,2.88,56732,11,Urban,Non-Border,0.229
Dawson,76.5,10,11,14,76,2.99,42127,12,Rural,Non-Border,0.215
Deaf Smith,78.2,9,7,9,80,3.03,42698,13,Rural,Non-Border,0.21
Delta,74.6,12,20,3,63,2.73,41644,12,Rural,Non-Border,0.286
Denton,81.7,8,15,4,32,3.02,86462,6,Urban,Non-Border,0.187
DeWitt,77.1,12,15,8,65,3.62,47657,10,Rural,Non-Border,0.22
Dickens,78.3,10,16,6,64,3,38702,16,Rural,Non-Border,0.232
Dimmit,78.7,10,8,18,76,2.37,35696,9,Rural,Border,0.268
Donley,74.3,12,18,6,60,3.1,41867,15,Rural,Non-Border,0.245
Duval,73.4,10,10,20,77,2.61,33495,9,Rural,Border,0.271
Eastland,76,11,18,10,61,2.76,39620,12,Rural,Non-Border,0.245
Ector,75.4,8,10,6,54,2.81,54422,13,Urban,Non-Border,0.193
Edwards,74.6,12,7,10,68,2.55,35164,17,Rural,Border,0.184
Ellis,78,11,14,6,47,2.87,71512,11,Urban,Non-Border,0.201
El Paso,80.6,10,9,10,74,2.84,44120,9,Urban,Border,0.229
Erath,78,9,19,16,53,2.88,48230,14,Rural,Non-Border,0.226
Falls,77.4,12,21,7,81,2.72,35988,11,Urban,Non-Border,0.27
Fannin,74.1,11,18,13,58,2.98,50598,13,Rural,Non-Border,0.228
Fayette,79.2,13,14,8,51,2.85,56320,13,Rural,Non-Border,0.187
Fisher,79.8,12,15,3,54,2.91,47292,12,Rural,Non-Border,0.23
Floyd,79.9,11,12,2,76,2.99,41390,12,Rural,Non-Border,0.238
Foard,NA,12,13,46,73,2.91,35007,16,Rural,Non-Border,0.18
Fort Bend,83,9,15,7,33,2.96,91661,7,Urban,Non-Border,0.193
Franklin,76.8,12,18,2,61,2.78,44358,12,Rural,Non-Border,0.243
Freestone,78.8,12,20,6,53,2.77,47616,12,Rural,Non-Border,0.263
Frio,77.9,8,8,5,79,2.85,37853,10,Rural,Border,0.215
Gaines,78.7,8,10,1,57,2.93,52138,22,Rural,Non-Border,0.188
Galveston,77.5,11,17,8,45,3.06,69674,9,Urban,Non-Border,0.229
Garza,78.1,8,10,2,73,3,46587,12,Rural,Non-Border,0.228
Gillespie,80.6,14,13,6,49,2.84,58412,19,Rural,Non-Border,0.217
Glasscock,NA,10,10,23,34,2.91,78088,17,Rural,Non-Border,0.167
Goliad,77.4,12,14,10,55,2.7,52403,10,Urban,Non-Border,0.253
Gonzales,77.2,11,12,11,74,3.13,45052,13,Rural,Non-Border,0.216
Gray,75,11,16,7,61,3.13,46599,13,Rural,Non-Border,0.232
Grayson,76.3,11,18,8,54,2.71,54431,12,Urban,Non-Border,0.228
Gregg,75.4,11,21,10,60,2.76,47208,10,Urban,Non-Border,0.246
Grimes,76.5,12,19,16,65,3.13,48023,12,Rural,Non-Border,0.261
Guadalupe,79.9,11,12,10,41,3.09,66886,9,Urban,Non-Border,0.194
Hale,76.9,9,13,9,72,2.86,43570,11,Rural,Non-Border,0.234
Hall,75.2,12,21,12,73,3.04,32980,15,Rural,Non-Border,0.258
Hamilton,74.5,12,17,7,54,2.75,44230,15,Rural,Non-Border,0.242
Hansford,76.7,10,12,35,57,3,55761,20,Rural,Non-Border,0.222
Hardeman,75.7,11,16,13,80,2.93,39022,16,Rural,Non-Border,0.214
Hardin,76.3,10,18,10,40,2.98,58829,8,Urban,Non-Border,0.239
Harris,79.5,10,17,6,65,2.97,58664,11,Urban,Non-Border,0.232
Harrison,76.4,13,21,4,59,2.73,50584,10,Rural,Non-Border,0.248
Hartley,81.1,10,13,9,56,3.01,69000,17,Rural,Non-Border,0.19
Haskell,77.6,11,16,11,73,2.79,35075,13,Rural,Non-Border,0.269
Hays,80.5,9,13,6,45,3.01,66525,9,Urban,Non-Border,0.191
Hemphill,76.9,10,12,2,41,3.1,64338,15,Rural,Non-Border,0.19
Henderson,74.6,11,19,12,65,3,44500,11,Rural,Non-Border,0.259
Hidalgo,82.1,10,10,21,85,2.45,36978,11,Urban,Border,0.284
Hill,76.4,12,18,2,64,2.93,47162,14,Rural,Non-Border,0.242
Hockley,75.9,10,12,17,63,2.88,48449,10,Rural,Non-Border,0.203
Hood,78.2,12,16,10,47,2.79,64687,12,Urban,Non-Border,0.233
Hopkins,76.9,12,18,7,61,2.92,44925,14,Rural,Non-Border,0.248
Houston,76.6,11,23,23,67,2.63,37723,11,Rural,Non-Border,0.29
Howard,74.3,11,14,16,59,2.82,46899,10,Rural,Non-Border,0.207
Hudspeth,86.4,11,12,67,85,2.9,39683,15,Urban,Border,0.298
Hunt,75.7,11,19,5,55,2.71,53421,11,Urban,Non-Border,0.245
Hutchinson,74.8,11,16,10,47,3.13,53465,12,Rural,Non-Border,0.25
Irion,NA,11,13,27,32,2.79,63827,12,Urban,Non-Border,0.209
Jack,75.3,10,17,18,58,3.04,47824,14,Rural,Non-Border,0.247
Jackson,78.2,11,14,4,54,2.66,49350,11,Rural,Non-Border,0.211
Jasper,75.1,13,22,8,58,2.89,43368,10,Rural,Non-Border,0.269
Jeff Davis,90.6,13,10,5,56,3,38537,19,Rural,Border,0.208
Jefferson,75.8,13,24,8,68,2.97,47852,10,Urban,Non-Border,0.272
Jim Hogg,78.1,10,7,17,83,2.46,32319,8,Rural,Border,0.262
Jim Wells,76.2,10,10,9,74,2.56,40681,9,Rural,Non-Border,0.259
Johnson,77.2,9,15,7,53,2.75,61813,11,Urban,Non-Border,0.212
Jones,75.3,10,17,9,64,2.9,44132,11,Urban,Non-Border,0.235
Karnes,78.6,9,14,11,62,2.94,48708,9,Rural,Non-Border,0.234
Kaufman,77.2,10,16,4,48,2.85,65942,9,Urban,Non-Border,0.208
Kendall,80.9,9,12,2,24,3.14,89637,10,Urban,Non-Border,0.181
Kenedy,NA,11,13,57,68,2.56,38031,11,Rural,Border,0.234
Kent,NA,12,15,36,32,2.87,45330,15,Rural,Non-Border,0.266
Kerr,78.2,14,15,13,59,2.9,49748,11,Rural,Non-Border,0.229
Kimble,78.4,12,16,8,69,2.88,41081,13,Rural,Non-Border,0.267
King,NA,11,16,27,0,2.78,56346,14,Rural,Non-Border,0.195
Kinney,81.4,11,10,2,56,2.29,42650,11,Rural,Border,0.184
Kleberg,76,9,12,17,65,2.77,41257,9,Rural,Non-Border,0.237
Knox,74.2,12,14,21,62,2.75,37749,15,Rural,Non-Border,0.223
Lamar,75.1,13,22,12,62,2.57,47212,11,Rural,Non-Border,0.256
Lamb,77,11,13,2,72,2.98,41099,14,Rural,Non-Border,0.239
Lampasas,78.7,10,16,9,53,2.7,55759,13,Urban,Non-Border,0.212
La Salle,77,8,5,39,86,2.49,41518,8,Rural,Border,0.163
Lavaca,78.5,12,15,4,38,2.68,51191,13,Rural,Non-Border,0.205
Lee,77.8,12,16,2,63,3.16,54164,11,Rural,Non-Border,0.21
Leon,76.1,13,18,5,57,2.86,43189,16,Rural,Non-Border,0.27
Liberty,74.1,11,19,8,65,2.93,50420,11,Urban,Non-Border,0.254
Limestone,76.2,12,20,8,72,2.76,41434,12,Rural,Non-Border,0.271
Lipscomb,81.4,10,13,28,65,3.12,54091,20,Rural,Non-Border,0.197
Live Oak,77.5,11,13,4,60,2.72,50430,14,Rural,Non-Border,0.23
Llano,78.9,13,17,14,65,2.67,51078,13,Rural,Non-Border,0.236
Loving,NA,10,19,51,NA,3.11,65203,21,Rural,Non-Border,0.226
Lubbock,76.9,8,16,8,57,3,47460,9,Urban,Non-Border,0.215
Lynn,76.1,11,12,15,57,2.99,44567,12,Urban,Non-Border,0.233
McCulloch,77.2,11,15,17,65,2.61,40157,12,Rural,Non-Border,0.234
McLennan,78.1,10,19,20,61,2.76,47306,11,Urban,Non-Border,0.237
McMullen,NA,11,8,37,27,2.79,68133,15,Rural,Border,0.201
Madison,76.8,10,19,15,69,2.9,42058,13,Rural,Non-Border,0.227
Marion,72.3,14,24,3,70,2.86,36936,10,Rural,Non-Border,0.295
Martin,76,9,9,7,50,2.91,59907,16,Urban,Non-Border,0.173
Mason,80.3,13,14,3,48,2.86,47213,23,Rural,Non-Border,0.223
Matagorda,75.4,12,17,17,65,2.68,46801,11,Rural,Non-Border,0.278
Maverick,78.7,10,9,22,77,2.16,33507,13,Rural,Border,0.266
Medina,79,12,9,8,59,2.76,56173,9,Urban,Non-Border,0.197
Menard,75.2,13,13,7,73,2.8,34033,19,Rural,Non-Border,0.207
Midland,78.7,8,11,7,49,3.02,76307,12,Urban,Non-Border,0.178
Milam,76.6,11,17,9,68,2.96,44855,11,Rural,Non-Border,0.245
Mills,79.1,12,15,10,61,2.74,42463,17,Rural,Non-Border,0.221
Mitchell,73.9,9,13,4,56,2.9,41512,12,Rural,Non-Border,0.198
Montague,74.9,11,18,7,56,2.84,47590,14,Rural,Non-Border,0.243
Montgomery,79.5,9,15,6,41,3.05,77149,10,Urban,Non-Border,0.207
Moore,77.8,9,11,14,67,2.88,51444,15,Rural,Non-Border,0.217
Morris,72.9,13,25,1,75,2.79,39627,11,Rural,Non-Border,0.271
Motley,NA,12,17,10,74,2.9,36782,19,Rural,Non-Border,0.202
Nacogdoches,77.3,13,22,13,67,2.89,42367,11,Rural,Non-Border,0.26
Navarro,74.9,11,18,11,69,2.44,41944,10,Rural,Non-Border,0.247
Newton,75.9,12,23,12,65,2.97,41736,9,Urban,Non-Border,0.261
Nolan,75.6,11,15,8,64,2.92,42662,9,Rural,Non-Border,0.23
Nueces,78.1,12,11,10,62,2.8,51910,8,Urban,Non-Border,0.225
Ochiltree,77,10,10,2,62,2.89,58962,18,Rural,Non-Border,0.189
Oldham,80.8,10,16,35,49,3.01,55451,9,Urban,Non-Border,0.201
Orange,74,12,20,9,47,2.97,57257,6,Urban,Non-Border,0.257
Palo Pinto,75.3,11,18,13,66,2.92,45869,12,Rural,Non-Border,0.254
Panola,74.9,12,21,7,51,2.83,48971,10,Rural,Non-Border,0.249
Parker,78.1,9,15,5,35,3.06,74076,10,Urban,Non-Border,0.207
Parmer,79.2,10,8,20,71,2.99,48189,14,Rural,Non-Border,0.212
Pecos,78.2,10,7,6,64,2.92,44352,13,Rural,Border,0.18
Polk,73.3,12,19,12,68,2.89,44596,12,Rural,Non-Border,0.281
Potter,74.5,10,17,10,74,2.87,43778,11,Urban,Non-Border,0.237
Presidio,90,12,11,43,89,3.3,29761,14,Rural,Border,0.277
Rains,75.8,14,16,NA,59,2.92,43403,14,Rural,Non-Border,0.225
Randall,78.8,9,14,4,40,3.32,63077,8,Urban,Non-Border,0.193
Reagan,76.3,9,10,2,61,2.92,58168,14,Rural,Non-Border,0.22
Real,77,13,17,45,68,2.79,36146,14,Rural,Border,0.28
Red River,75.2,15,21,18,65,2.75,35643,12,Rural,Non-Border,0.24
Reeves,78,8,7,9,64,2.91,40694,12,Rural,Border,0.177
Refugio,75,12,13,7,62,2.74,42898,10,Rural,Non-Border,0.249
Roberts,NA,11,14,12,24,3.17,67688,9,Rural,Non-Border,0.195
Robertson,76.2,12,18,11,62,2.83,44355,12,Urban,Non-Border,0.23
Rockwall,81.4,10,13,4,26,3.03,98442,9,Urban,Non-Border,0.182
Runnels,77,12,14,11,57,2.86,41830,11,Rural,Non-Border,0.22
Rusk,76.8,15,19,8,67,2.71,49872,11,Urban,Non-Border,0.243
Sabine,74.1,13,23,6,68,2.96,37770,12,Rural,Non-Border,0.321
San Augustine,73.1,15,26,2,83,2.91,39133,9,Rural,Non-Border,0.308
San Jacinto,75.8,13,19,3,69,3.19,44707,12,Rural,Non-Border,0.251
San Patricio,76.1,10,11,8,63,2.74,50752,9,Urban,Non-Border,0.243
San Saba,78.5,11,15,13,62,2.69,43112,15,Rural,Non-Border,0.253
Schleicher,79.8,10,10,5,59,2.79,45821,17,Rural,Non-Border,0.177
Scurry,77.1,10,12,11,50,2.91,51772,10,Rural,Non-Border,0.206
Shackelford,81.6,11,17,6,47,2.91,61155,16,Rural,Non-Border,0.231
Shelby,74.5,12,21,6,75,2.92,39745,15,Rural,Non-Border,0.28
Sherman,78,10,10,6,60,2.94,49349,21,Rural,Non-Border,0.209
Smith,78.2,11,19,7,58,2.91,54044,9,Urban,Non-Border,0.23
Somervell,77.7,11,17,0,44,2.79,62803,13,Urban,Non-Border,0.273
Starr,79.3,9,13,33,83,2.71,28377,9,Rural,Border,0.321
Stephens,75.8,10,17,13,64,3.01,41977,13,Rural,Non-Border,0.264
Sterling,NA,10,12,47,42,2.91,55690,16,Rural,Non-Border,0.251
Stonewall,NA,12,16,5,54,2.86,43702,14,Rural,Non-Border,0.212
Sutton,81.6,10,10,4,59,2.59,57986,13,Rural,Border,0.18
Swisher,77.1,10,15,8,72,3.01,41264,12,Rural,Non-Border,0.245
Tarrant,79.2,10,17,8,55,2.89,65021,9,Urban,Non-Border,0.214
Taylor,76,9,18,12,58,2.91,50338,8,Urban,Non-Border,0.224
Terrell,NA,12,10,38,48,2.55,39033,16,Rural,Border,0.213
Terry,75.2,10,11,18,76,2.99,40899,13,Rural,Non-Border,0.222
Throckmorton,NA,12,16,32,62,2.96,38162,16,Rural,Non-Border,0.237
Titus,77.2,11,16,6,76,2.73,47097,12,Rural,Non-Border,0.247
Tom Green,78.3,11,14,17,53,2.78,49462,10,Urban,Non-Border,0.206
Travis,81.8,7,15,7,49,3.28,72785,9,Urban,Non-Border,0.202
Trinity,73.3,14,19,1,68,2.9,34741,12,Rural,Non-Border,0.274
Tyler,75.7,11,20,19,59,2.93,43394,9,Rural,Non-Border,0.274
Upshur,74.7,13,19,5,59,2.92,47517,11,Urban,Non-Border,0.245
Upton,77.5,10,12,9,56,2.92,56448,14,Rural,Non-Border,0.216
Uvalde,78.9,10,9,22,72,2.55,39610,11,Rural,Border,0.226
Val Verde,79.5,9,9,18,75,2.34,41441,10,Rural,Border,0.224
Van Zandt,76.5,11,17,4,53,2.99,50308,13,Rural,Non-Border,0.232
Victoria,77.9,11,13,9,67,2.63,52161,9,Urban,Non-Border,0.221
Walker,78.2,9,23,12,57,2.94,42304,11,Rural,Non-Border,0.245
Waller,79.1,12,19,11,73,3.32,55224,13,Urban,Non-Border,0.236
Ward,74.5,11,12,4,50,2.83,53242,11,Rural,Non-Border,0.186
Washington,80.2,12,18,3,56,3.03,51276,12,Rural,Non-Border,0.228
Webb,80.1,8,8,13,82,2.39,41979,11,Urban,Border,0.252
Wharton,77.1,11,15,7,65,2.72,46194,12,Rural,Non-Border,0.24
Wheeler,74.7,11,16,3,53,3.06,45356,15,Rural,Non-Border,0.254
Wichita,75.8,13,19,13,59,2.78,44593,9,Urban,Non-Border,0.245
Wilbarger,75.8,12,17,13,63,2.81,40353,11,Rural,Non-Border,0.236
Willacy,78.4,10,14,9,84,2.07,30392,9,Rural,Border,0.329
Williamson,82,8,13,8,30,3.17,82131,7,Urban,Non-Border,0.183
Wilson,79.2,11,10,1,40,2.84,70829,9,Urban,Non-Border,0.189
Winkler,74.2,9,11,0,62,2.94,51965,12,Rural,Non-Border,0.219
Wise,76.4,12,15,2,46,3.07,60675,12,Urban,Non-Border,0.229
Wood,76.6,13,17,4,56,3.04,49739,13,Rural,Non-Border,0.245
Yoakum,77.7,9,7,7,58,3.03,58363,16,Rural,Non-Border,0.18
Young,74.7,13,16,13,59,2.84,44909,13,Rural,Non-Border,0.242
Zapata,79,9,11,27,84,2.44,32172,12,Rural,Border,0.293
Zavala,75.9,9,14,20,72,2.42,28867,8,Rural,Border,0.35