County,lifeexpectancy,frequentmentaldistressrate,diabeticrate,foodinsecurerate,limitedaccessfoodrate,uninsuredadultrate,uninsuredchildrenrate,Household Income,householdiincome_black,householdincome_hispanic,householdincome_white,free_reduced_lunch_percent,urbanization,border_status
Anderson,73.8,11,11,19,15,21,11,42412,24427,37635,48013,61,Rural,Non-Border
Andrews,76.8,10,9,9,12,22,12,63451,38359,66319,73648,42,Rural,Non-Border
Angelina,76.3,13,14,20,11,24,10,45318,28509,41673,51631,66,Rural,Non-Border
Aransas,76.9,12,14,16,20,24,13,46970,,43302,45496,56,Urban,Non-Border
Archer,77.0,10,11,15,5,20,13,58311,,34375,65504,32,Urban,Non-Border
Armstrong,72.4,10,11,14,20,17,12,55337,,150250,64737,51,Urban,Non-Border
Atascosa,78.3,11,12,9,8,23,9,48636,72827,49619,66601,63,Urban,Non-Border
Austin,79.1,11,10,16,3,22,11,61111,40096,49375,74375,54,Urban,Non-Border
Bailey,78.4,13,10,10,4,34,13,42045,,37917,54073,81,Rural,Non-Border
Bandera,80.3,11,11,15,13,20,13,55578,,58274,56284,54,Urban,Non-Border
Bastrop,77.6,11,10,13,11,25,12,62992,46866,49336,63927,66,Urban,Non-Border
Baylor,74.3,12,13,17,4,19,10,37013,,20417,37712,56,Rural,Non-Border
Bee,76.7,11,9,14,11,23,9,41392,41051,40737,48678,74,Rural,Non-Border
Bell,78.1,11,10,19,13,17,7,52164,46745,46702,60233,54,Urban,Non-Border
Bexar,79.0,11,9,11,11,20,8,54163,45533,46079,70203,63,Urban,Non-Border
Blanco,78.8,11,11,13,1,23,20,62115,,46861,61918,42,Rural,Non-Border
Borden,,9,12,14,15,15,11,59039,,86042,75750,24,Rural,Non-Border
Bosque,76.5,11,11,16,4,26,15,49139,61731,35156,51236,63,Rural,Non-Border
Bowie,75.6,12,13,23,9,19,8,49153,27745,29432,51955,59,Urban,Non-Border
Brazoria,79.0,10,11,15,7,18,9,80840,73200,63715,80549,45,Urban,Non-Border
Brazos,81.1,12,8,21,12,19,9,46083,32027,37026,52780,57,Urban,Non-Border
Brewster,79.7,11,11,12,13,20,10,44617,,37711,42802,54,Rural,Border
Briscoe,,12,12,14,48,34,23,42678,13125,31058,51458,52,Rural,Non-Border
Brooks,76.7,14,11,13,11,24,6,28106,,,,80,Rural,Border
Brown,75.0,12,12,17,14,20,9,41538,33561,36399,45705,61,Rural,Non-Border
Burleson,76.6,11,11,16,4,22,13,47409,29250,54531,57665,64,Urban,Non-Border
Burnet,79.1,11,11,15,13,23,12,59009,66563,60253,56882,61,Rural,Non-Border
Caldwell,78.0,12,10,13,8,25,11,51895,29198,44921,62380,69,Urban,Non-Border
Calhoun,78.7,11,11,13,13,22,11,55240,28563,53472,63471,62,Rural,Non-Border
Callahan,75.4,12,11,18,11,22,12,45843,23611,31806,41461,55,Urban,Non-Border
Cameron,80.8,14,9,10,14,39,13,36624,57333,33400,51618,87,Urban,Border
Camp,75.9,12,12,20,6,25,11,41932,31371,40573,48006,76,Rural,Non-Border
Carson,78.1,10,11,13,6,17,11,60668,,75750,66642,31,Urban,Non-Border
Cass,75.3,12,14,23,3,18,9,40104,24975,31908,45581,61,Rural,Non-Border
Castro,80.3,12,11,8,4,34,16,41746,90833,37247,57656,75,Rural,Non-Border
Chambers,77.1,11,10,15,5,18,10,81018,43944,59238,83568,31,Urban,Non-Border
Cherokee,75.6,12,13,19,9,27,13,47147,23609,44264,49014,64,Rural,Non-Border
Childress,75.1,12,9,19,17,20,10,40925,,31316,47923,51,Rural,Non-Border
Clay,77.2,11,11,17,17,20,12,53438,,35208,48547,47,Urban,Non-Border
Cochran,75.3,13,11,11,8,35,15,40796,,31094,45192,78,Rural,Non-Border
Coke,76.8,11,12,16,36,20,12,42314,,36429,44519,55,Rural,Non-Border
Coleman,74.5,12,12,18,8,24,11,35596,,40857,41193,62,Rural,Non-Border
Collin,82.7,10,9,15,2,13,7,95394,69186,59137,96131,23,Urban,Non-Border
Collingsworth,76.1,13,11,14,3,35,19,39809,21131,42857,52222,62,Rural,Non-Border
Colorado,77.5,11,12,15,6,22,13,49100,28859,51612,54926,64,Rural,Non-Border
Comal,79.8,10,8,12,6,16,10,72562,87209,52479,79684,31,Urban,Non-Border
Comanche,76.7,12,13,16,8,29,15,46161,28177,41002,43768,65,Rural,Non-Border
Concho,79.9,10,9,8,11,21,12,42723,,31771,51510,69,Rural,Non-Border
Cooke,77.8,11,11,16,2,23,13,57382,32016,45171,63624,57,Rural,Non-Border
Coryell,77.0,11,10,19,17,17,7,51486,50963,40976,52609,54,Urban,Non-Border
Cottle,,12,12,20,46,30,17,36201,15625,28558,51000,71,Rural,Non-Border
Crane,78.5,10,10,9,3,23,13,56356,,71282,53661,52,Rural,Non-Border
Crockett,77.8,11,10,11,3,24,12,44991,,52701,60333,59,Rural,Border
Crosby,74.9,12,10,12,2,27,11,36942,28661,34632,44276,78,Urban,Non-Border
Culberson,82.9,13,11,8,5,30,15,37825,,26250,51118,68,Rural,Border
Dallam,77.9,11,9,13,18,31,16,47838,,36917,48401,64,Rural,Non-Border
Dallas,78.9,11,9,18,7,26,11,56732,40202,44338,74286,73,Urban,Non-Border
Dawson,76.5,11,10,11,14,27,12,42127,16250,36552,52955,76,Rural,Non-Border
Deaf Smith,78.2,11,9,7,9,30,13,42698,36071,45674,64330,80,Rural,Non-Border
Delta,74.6,12,12,20,3,21,12,41644,14500,85456,43040,63,Rural,Non-Border
Denton,81.7,10,8,15,4,14,6,86462,56628,55633,90080,32,Urban,Non-Border
DeWitt,77.1,11,12,15,8,20,10,47657,30150,40313,62381,65,Rural,Non-Border
Dickens,78.3,11,10,16,6,27,16,38702,,,,64,Rural,Non-Border
Dimmit,78.7,13,10,8,18,24,9,35696,,27281,35792,76,Rural,Border
Donley,74.3,11,12,18,6,25,15,41867,,39750,47727,60,Rural,Non-Border
Duval,73.4,13,10,10,20,24,9,33495,,32536,53276,77,Rural,Border
Eastland,76.0,12,11,18,10,24,12,39620,28750,21927,34398,61,Rural,Non-Border
Ector,75.4,10,8,10,6,25,13,54422,50813,53516,66620,54,Urban,Non-Border
Edwards,74.6,11,12,7,10,28,17,35164,,29500,67361,68,Rural,Border
Ellis,78.0,10,11,14,6,20,11,71512,56533,54528,74103,47,Urban,Non-Border
El Paso,80.6,13,10,9,10,27,9,44120,49565,39656,58927,74,Urban,Border
Erath,78.0,12,9,19,16,25,14,48230,,45845,47877,53,Rural,Non-Border
Falls,77.4,13,12,21,7,23,11,35988,22688,28886,46500,81,Urban,Non-Border
Fannin,74.1,12,11,18,13,25,13,50598,22227,47788,50769,58,Rural,Non-Border
Fayette,79.2,11,13,14,8,22,13,56320,37299,47500,59436,51,Rural,Non-Border
Fisher,79.8,11,12,15,3,20,12,47292,,35357,53125,54,Rural,Non-Border
Floyd,79.9,13,11,12,2,28,12,41390,36250,40171,64286,76,Rural,Non-Border
Foard,,11,12,13,46,27,16,35007,,41154,50396,73,Rural,Non-Border
Fort Bend,83.0,9,9,15,7,15,7,91661,76306,66700,112112,33,Urban,Non-Border
Franklin,76.8,12,12,18,2,20,12,44358,,47083,43693,61,Rural,Non-Border
Freestone,78.8,11,12,20,6,24,12,47616,26890,37656,54298,53,Rural,Non-Border
Frio,77.9,12,8,8,5,25,10,37853,,34916,67388,79,Rural,Border
Gaines,78.7,11,8,10,1,37,22,52138,63250,49617,64861,57,Rural,Non-Border
Galveston,77.5,11,11,17,8,19,9,69674,36031,49339,79987,45,Urban,Non-Border
Garza,78.1,10,8,10,2,27,12,46587,92604,45806,65708,73,Rural,Non-Border
Gillespie,80.6,11,14,13,6,26,19,58412,,43807,58141,49,Rural,Non-Border
Glasscock,,10,10,10,23,22,17,78088,,38333,118125,34,Rural,Non-Border
Goliad,77.4,11,12,14,10,16,10,52403,34722,43702,72045,55,Urban,Non-Border
Gonzales,77.2,12,11,12,11,31,13,45052,20820,44451,57922,74,Rural,Non-Border
Gray,75.0,11,11,16,7,27,13,46599,31042,41071,51620,61,Rural,Non-Border
Grayson,76.3,11,11,18,8,23,12,54431,30165,47477,55457,54,Urban,Non-Border
Gregg,75.4,12,11,21,10,24,10,47208,29648,41318,56395,60,Urban,Non-Border
Grimes,76.5,12,12,19,16,25,12,48023,22097,47981,57034,65,Rural,Non-Border
Guadalupe,79.9,10,11,12,10,18,9,66886,73595,52674,73445,41,Urban,Non-Border
Hale,76.9,12,9,13,9,29,11,43570,37794,41085,52673,72,Rural,Non-Border
Hall,75.2,15,12,21,12,36,15,32980,18646,31354,34095,73,Rural,Non-Border
Hamilton,74.5,11,12,17,7,26,15,44230,,24954,51445,54,Rural,Non-Border
Hansford,76.7,12,10,12,35,30,20,55761,,30938,46594,57,Rural,Non-Border
Hardeman,75.7,12,11,16,13,28,16,39022,13750,39750,42784,80,Rural,Non-Border
Hardin,76.3,11,10,18,10,18,8,58829,25612,51967,59033,40,Urban,Non-Border
Harris,79.5,11,10,17,6,25,11,58664,41678,46183,84542,65,Urban,Non-Border
Harrison,76.4,11,13,21,4,21,10,50584,31113,47188,56412,59,Rural,Non-Border
Hartley,81.1,9,10,13,9,23,17,69000,,39559,69423,56,Rural,Non-Border
Haskell,77.6,12,11,16,11,26,13,35075,16250,27986,49279,73,Rural,Non-Border
Hays,80.5,11,9,13,6,18,9,66525,55966,51291,71839,45,Urban,Non-Border
Hemphill,76.9,11,10,12,2,23,15,64338,,34375,85469,41,Rural,Non-Border
Henderson,74.6,12,11,19,12,25,11,44500,26881,32442,47010,65,Rural,Non-Border
Hidalgo,82.1,13,10,10,21,41,11,36978,57632,34956,50810,85,Urban,Border
Hill,76.4,12,12,18,2,27,14,47162,28295,42888,49096,64,Rural,Non-Border
Hockley,75.9,11,10,12,17,24,10,48449,20817,44276,54217,63,Rural,Non-Border
Hood,78.2,11,12,16,10,20,12,64687,,50870,61103,47,Urban,Non-Border
Hopkins,76.9,12,12,18,7,25,14,44925,34727,36968,53290,61,Rural,Non-Border
Houston,76.6,12,11,23,23,23,11,37723,22627,20956,41994,67,Rural,Non-Border
Howard,74.3,11,11,14,16,20,10,46899,26650,39314,56698,59,Rural,Non-Border
Hudspeth,86.4,14,11,12,67,37,15,39683,,21699,41563,85,Urban,Border
Hunt,75.7,12,11,19,5,23,11,53421,27030,42708,54015,55,Urban,Non-Border
Hutchinson,74.8,11,11,16,10,23,12,53465,,45487,52758,47,Rural,Non-Border
Irion,,10,11,13,27,15,12,63827,,76667,62321,32,Urban,Non-Border
Jack,75.3,11,10,17,18,24,14,47824,,35195,55522,58,Rural,Non-Border
Jackson,78.2,11,11,14,4,22,11,49350,42083,44948,67536,54,Rural,Non-Border
Jasper,75.1,12,13,22,8,19,10,43368,20000,27679,50636,58,Rural,Non-Border
Jeff Davis,90.6,12,13,10,5,30,19,38537,,36500,60000,56,Rural,Border
Jefferson,75.8,12,13,24,8,24,10,47852,31268,45779,61024,68,Urban,Non-Border
Jim Hogg,78.1,12,10,7,17,26,8,32319,,31939,18750,83,Rural,Border
Jim Wells,76.2,12,10,10,9,24,9,40681,,38601,55244,74,Rural,Non-Border
Johnson,77.2,11,9,15,7,21,11,61813,52527,50323,63158,53,Urban,Non-Border
Jones,75.3,11,10,17,9,23,11,44132,21675,40000,51306,64,Urban,Non-Border
Karnes,78.6,11,9,14,11,18,9,48708,38507,47788,61811,62,Rural,Non-Border
Kaufman,77.2,11,10,16,4,22,9,65942,46713,49820,69630,48,Urban,Non-Border
Kendall,80.9,10,9,12,2,16,10,89637,69211,65870,85732,24,Urban,Non-Border
Kenedy,,12,11,13,57,25,11,38031,,,,68,Rural,Border
Kent,,10,12,15,36,22,15,45330,,,,32,Rural,Non-Border
Kerr,78.2,12,14,15,13,24,11,49748,27931,41058,51360,59,Rural,Non-Border
Kimble,78.4,11,12,16,8,26,13,41081,,31884,41731,69,Rural,Non-Border
King,,11,11,16,27,24,14,56346,,,,0,Rural,Non-Border
Kinney,81.4,12,11,10,2,24,11,42650,,51719,31557,56,Rural,Border
Kleberg,76.0,12,9,12,17,26,9,41257,,40460,54712,65,Rural,Non-Border
Knox,74.2,12,12,14,21,27,15,37749,22000,42833,49848,62,Rural,Non-Border
Lamar,75.1,13,13,22,12,23,11,47212,27287,45710,46096,62,Rural,Non-Border
Lamb,77.0,13,11,13,2,30,14,41099,37672,38455,48228,72,Rural,Non-Border
Lampasas,78.7,11,10,16,9,22,13,55759,97109,42096,54716,53,Urban,Non-Border
La Salle,77.0,12,8,5,39,21,8,41518,,35011,62607,86,Rural,Border
Lavaca,78.5,11,12,15,4,19,13,51191,23424,46875,56970,38,Rural,Non-Border
Lee,77.8,11,12,16,2,21,11,54164,29821,45901,60142,63,Rural,Non-Border
Leon,76.1,12,13,18,5,26,16,43189,27449,31094,50342,57,Rural,Non-Border
Liberty,74.1,12,11,19,8,25,11,50420,38438,42071,52077,65,Urban,Non-Border
Limestone,76.2,12,12,20,8,25,12,41434,26423,37121,45900,72,Rural,Non-Border
Lipscomb,81.4,10,10,13,28,26,20,54091,,50893,61625,65,Rural,Non-Border
Live Oak,77.5,11,11,13,4,22,14,50430,,30990,55875,60,Rural,Non-Border
Llano,78.9,12,13,17,14,21,13,51078,,38636,50530,65,Rural,Non-Border
Loving,,12,10,19,51,21,21,65203,,,,,Rural,Non-Border
Lubbock,76.9,12,8,16,8,18,9,47460,32522,40658,55815,57,Urban,Non-Border
Lynn,76.1,12,11,12,15,25,12,44567,,26800,56111,57,Urban,Non-Border
McCulloch,77.2,12,11,15,17,25,12,40157,,32224,54006,65,Rural,Non-Border
McLennan,78.1,12,10,19,20,21,11,47306,27363,36114,57261,61,Urban,Non-Border
McMullen,,11,11,8,37,17,15,68133,,73906,67813,27,Rural,Border
Madison,76.8,11,10,19,15,26,13,42058,23013,57500,45195,69,Rural,Non-Border
Marion,72.3,12,14,24,3,20,10,36936,30599,65313,41383,70,Rural,Non-Border
Martin,76.0,11,9,9,7,24,16,59907,,62826,82368,50,Urban,Non-Border
Mason,80.3,11,13,14,3,28,23,47213,,36250,43125,48,Rural,Non-Border
Matagorda,75.4,12,12,17,17,24,11,46801,23190,44146,54779,65,Rural,Non-Border
Maverick,78.7,13,10,9,22,36,13,33507,,36869,64432,77,Rural,Border
Medina,79.0,11,12,9,8,20,9,56173,,51675,65983,59,Urban,Non-Border
Menard,75.2,11,13,13,7,29,19,34033,,26023,42674,73,Rural,Non-Border
Midland,78.7,10,8,11,7,20,12,76307,41035,63940,91650,49,Urban,Non-Border
Milam,76.6,12,11,17,9,23,11,44855,27625,31669,45718,68,Rural,Non-Border
Mills,79.1,11,12,15,10,27,17,42463,,,,61,Rural,Non-Border
Mitchell,73.9,10,9,13,4,24,12,41512,,46991,54636,56,Rural,Non-Border
Montague,74.9,12,11,18,7,25,14,47590,,36215,47621,56,Rural,Non-Border
Montgomery,79.5,10,9,15,6,20,10,77149,64312,50352,80823,41,Urban,Non-Border
Moore,77.8,12,9,11,14,32,15,51444,48750,49095,59690,67,Rural,Non-Border
Morris,72.9,12,13,25,1,24,11,39627,29421,39236,48070,75,Rural,Non-Border
Motley,,12,12,17,10,28,19,36782,,41705,37917,74,Rural,Non-Border
Nacogdoches,77.3,13,13,22,13,26,11,42367,23719,32219,50665,67,Rural,Non-Border
Navarro,74.9,12,11,18,11,27,10,41944,23629,41116,52125,69,Rural,Non-Border
Newton,75.9,12,12,23,12,20,9,41736,30170,133625,44233,65,Urban,Non-Border
Nolan,75.6,12,11,15,8,21,9,42662,20245,39449,46869,64,Rural,Non-Border
Nueces,78.1,11,12,11,10,23,8,51910,41216,47752,64757,62,Urban,Non-Border
Ochiltree,77.0,11,10,10,2,31,18,58962,,48321,52689,62,Rural,Non-Border
Oldham,80.8,11,10,16,35,17,9,55451,,,,49,Urban,Non-Border
Orange,74.0,11,12,20,9,17,6,57257,31933,51918,56726,47,Urban,Non-Border
Palo Pinto,75.3,12,11,18,13,26,12,45869,23333,34552,48738,66,Rural,Non-Border
Panola,74.9,11,12,21,7,20,10,48971,29938,36922,54402,51,Rural,Non-Border
Parker,78.1,10,9,15,5,18,10,74076,55515,56936,72549,35,Urban,Non-Border
Parmer,79.2,12,10,8,20,30,14,48189,51150,44625,55313,71,Rural,Non-Border
Pecos,78.2,10,10,7,6,26,13,44352,,43697,58929,64,Rural,Border
Polk,73.3,12,12,19,12,26,12,44596,33234,35787,47619,68,Rural,Non-Border
Potter,74.5,12,10,17,10,29,11,43778,25886,37968,48694,74,Urban,Non-Border
Presidio,90.0,13,12,11,43,37,14,29761,,23009,47188,89,Rural,Border
Rains,75.8,11,14,16,,24,14,43403,,44375,49375,59,Rural,Non-Border
Randall,78.8,10,9,14,4,15,8,63077,46895,53916,69264,40,Urban,Non-Border
Reagan,76.3,11,9,10,2,26,14,58168,22917,52745,97000,61,Rural,Non-Border
Real,77.0,12,13,17,45,28,14,36146,,26458,37531,68,Rural,Border
Red River,75.2,12,15,21,18,24,12,35643,34028,19948,36369,65,Rural,Non-Border
Reeves,78.0,11,8,7,9,25,12,40694,,48750,56818,64,Rural,Border
Refugio,75.0,11,12,13,7,20,10,42898,51250,36449,58193,62,Rural,Non-Border
Roberts,,10,11,14,12,11,9,67688,,,,24,Rural,Non-Border
Robertson,76.2,11,12,18,11,23,12,44355,28446,56869,57759,62,Urban,Non-Border
Rockwall,81.4,10,10,13,4,15,9,98442,81741,65161,99376,26,Urban,Non-Border
Runnels,77.0,12,12,14,11,24,11,41830,,40230,42476,57,Rural,Non-Border
Rusk,76.8,11,15,19,8,25,11,49872,26999,40215,54915,67,Urban,Non-Border
Sabine,74.1,13,13,23,6,22,12,37770,20192,23421,34886,68,Rural,Non-Border
San Augustine,73.1,14,15,26,2,22,9,39133,21629,35341,37042,83,Rural,Non-Border
San Jacinto,75.8,12,13,19,3,25,12,44707,34018,27075,49598,69,Rural,Non-Border
San Patricio,76.1,11,10,11,8,23,9,50752,35234,46492,64387,63,Urban,Non-Border
San Saba,78.5,12,11,15,13,31,15,43112,,38092,41551,62,Rural,Non-Border
Schleicher,79.8,10,10,10,5,26,17,45821,,55179,68843,59,Rural,Non-Border
Scurry,77.1,11,10,12,11,21,10,51772,49844,55649,54381,50,Rural,Non-Border
Shackelford,81.6,11,11,17,6,23,16,61155,,31071,51071,47,Rural,Non-Border
Shelby,74.5,13,12,21,6,30,15,39745,21815,39814,42840,75,Rural,Non-Border
Sherman,78.0,10,10,10,6,31,21,49349,,40179,61985,60,Rural,Non-Border
Smith,78.2,12,11,19,7,23,9,54044,32373,42806,59273,58,Urban,Non-Border
Somervell,77.7,12,11,17,0,21,13,62803,,39776,55019,44,Urban,Non-Border
Starr,79.3,15,9,13,33,40,9,28377,,,,83,Rural,Border
Stephens,75.8,12,10,17,13,27,13,41977,,46761,46602,64,Rural,Non-Border
Sterling,,12,10,12,47,21,16,55690,,65000,47283,42,Rural,Non-Border
Stonewall,,12,12,16,5,21,14,43702,13056,45804,58235,54,Rural,Non-Border
Sutton,81.6,10,10,10,4,24,13,57986,,58859,65741,59,Rural,Border
Swisher,77.1,12,10,15,8,29,12,41264,17125,36094,41908,72,Rural,Non-Border
Tarrant,79.2,11,10,17,8,21,9,65021,46726,48905,75272,55,Urban,Non-Border
Taylor,76.0,12,9,18,12,20,8,50338,37947,39410,54244,58,Urban,Non-Border
Terrell,,12,12,10,38,24,16,39033,,23304,42500,48,Rural,Border
Terry,75.2,12,10,11,18,30,13,40899,23931,36209,59209,76,Rural,Non-Border
Throckmorton,,11,12,16,32,23,16,38162,,55833,36696,62,Rural,Non-Border
Titus,77.2,12,11,16,6,31,12,47097,25482,42560,55429,76,Rural,Non-Border
Tom Green,78.3,11,11,14,17,20,10,49462,36078,42484,55878,53,Urban,Non-Border
Travis,81.8,10,7,15,7,18,9,72785,47220,49804,81697,49,Urban,Non-Border
Trinity,73.3,13,14,19,1,25,12,34741,22292,30710,39969,68,Rural,Non-Border
Tyler,75.7,11,11,20,19,20,9,43394,21442,64207,45602,59,Rural,Non-Border
Upshur,74.7,11,13,19,5,22,11,47517,37406,31354,51538,59,Urban,Non-Border
Upton,77.5,11,10,12,9,24,14,56448,,40145,61738,56,Rural,Non-Border
Uvalde,78.9,13,10,9,22,28,11,39610,,34543,52754,72,Rural,Border
Val Verde,79.5,12,9,9,18,29,10,41441,34792,39456,60837,75,Rural,Border
Van Zandt,76.5,11,11,17,4,26,13,50308,34792,31178,51332,53,Rural,Non-Border
Victoria,77.9,11,11,13,9,23,9,52161,40701,45652,66865,67,Urban,Non-Border
Walker,78.2,12,9,23,12,20,11,42304,30093,31346,47532,57,Rural,Non-Border
Waller,79.1,11,12,19,11,28,13,55224,34159,41924,74132,73,Urban,Non-Border
Ward,74.5,11,11,12,4,24,11,53242,56202,52688,74554,50,Rural,Non-Border
Washington,80.2,11,12,18,3,20,12,51276,31127,38770,62483,56,Rural,Non-Border
Webb,80.1,14,8,8,13,38,11,41979,102011,39072,61702,82,Urban,Border
Wharton,77.1,12,11,15,7,26,12,46194,30958,40000,62420,65,Rural,Non-Border
Wheeler,74.7,11,11,16,3,24,15,45356,18824,44321,55599,53,Rural,Non-Border
Wichita,75.8,12,13,19,13,19,9,44593,25718,36147,49946,59,Urban,Non-Border
Wilbarger,75.8,12,12,17,13,23,11,40353,24619,43731,48571,63,Rural,Non-Border
Willacy,78.4,15,10,14,9,30,9,30392,,27260,40536,84,Rural,Border
Williamson,82.0,9,8,13,8,13,7,82131,66270,64690,82945,30,Urban,Non-Border
Wilson,79.2,10,11,10,1,18,9,70829,91023,55655,82005,40,Urban,Non-Border
Winkler,74.2,11,9,11,0,23,12,51965,,57350,53173,62,Rural,Non-Border
Wise,76.4,11,12,15,2,20,12,60675,63906,41728,61498,46,Urban,Non-Border
Wood,76.6,11,13,17,4,23,13,49739,31277,36121,50987,56,Rural,Non-Border
Yoakum,77.7,11,9,7,7,28,16,58363,,58948,68017,58,Rural,Non-Border
Young,74.7,12,13,16,13,25,13,44909,,36938,50893,59,Rural,Non-Border
Zapata,79.0,14,9,11,27,40,12,32172,,34187,38750,84,Rural,Border
Zavala,75.9,15,9,14,20,27,8,28867,,,,72,Rural,Border